call_id,rep_id,hcp_id,product_id,call_date,call_type,duration_min,samples_given
C000001,R001,H0185,P002,2026-04-08,F2F,21,5
C000002,R001,H0410,P003,2026-01-25,F2F,17,7
C000003,R001,H0300,P003,2025-11-15,F2F,13,0
C000004,R001,H0171,P001,2025-09-01,F2F,29,5
C000005,R001,H0242,P004,2025-10-28,F2F,31,2
C000006,R001,H0496,P003,2025-07-09,F2F,27,7
C000007,R001,H0133,P005,2025-08-12,F2F,30,3
C000008,R001,H0252,P003,2026-03-28,Virtual,14,5
C000009,R001,H0105,P005,2026-04-01,F2F,13,1
C000010,R001,H0246,P002,2026-04-20,F2F,16,8
C000011,R001,H0479,P005,2025-12-04,F2F,18,2
C000012,R001,H0412,P005,2026-04-04,F2F,14,7
C000013,R001,H0105,P003,2025-10-28,F2F,13,0
C000014,R001,H0073,P005,2026-03-23,F2F,16,8
C000015,R001,H0015,P001,2025-06-04,Virtual,29,5
C000016,R001,H0356,P002,2025-07-18,F2F,35,5
C000017,R001,H0268,P005,2025-06-28,F2F,28,2
C000018,R001,H0268,P003,2025-06-07,F2F,10,7
C000019,R001,H0198,P003,2026-04-29,Virtual,30,5
C000020,R001,H0105,P002,2025-08-11,Virtual,12,7
C000021,R001,H0292,P005,2026-02-08,F2F,19,8
C000022,R001,H0152,P005,2025-06-14,F2F,14,6
C000023,R001,H0309,P005,2025-10-10,F2F,19,7
C000024,R001,H0242,P003,2025-07-06,F2F,21,0
C000025,R001,H0309,P003,2026-04-29,Virtual,16,8
C000026,R001,H0412,P002,2025-10-03,F2F,21,2
C000027,R001,H0242,P002,2026-03-16,F2F,31,0
C000028,R001,H0152,P003,2025-05-24,F2F,25,3
C000029,R001,H0388,P001,2025-05-31,Virtual,19,6
C000030,R001,H0288,P002,2025-11-06,F2F,15,3
C000031,R001,H0334,P003,2025-09-26,F2F,32,6
C000032,R001,H0412,P003,2025-11-18,F2F,35,3
C000033,R001,H0056,P002,2025-10-28,F2F,6,4
C000034,R001,H0265,P004,2026-01-14,F2F,29,8
C000035,R001,H0417,P001,2025-06-19,F2F,16,5
C000036,R001,H0185,P005,2026-03-05,F2F,21,0
C000037,R001,H0046,P003,2025-07-10,F2F,30,7
C000038,R001,H0361,P001,2026-01-19,Virtual,15,5
C000039,R001,H0496,P003,2026-03-12,F2F,23,5
C000040,R001,H0056,P003,2025-10-17,F2F,18,4
C000041,R001,H0450,P003,2025-12-29,F2F,35,3
C000042,R001,H0010,P004,2026-04-14,Virtual,6,1
C000043,R001,H0056,P004,2025-12-12,F2F,18,2
C000044,R001,H0105,P002,2026-01-03,Virtual,35,3
C000045,R001,H0479,P003,2025-09-30,F2F,27,3
C000046,R001,H0479,P003,2025-05-22,F2F,35,1
C000047,R001,H0268,P004,2026-01-31,F2F,34,8
C000048,R001,H0252,P002,2026-03-12,Virtual,12,0
C000049,R001,H0444,P005,2025-11-28,F2F,27,7
C000050,R001,H0010,P004,2025-07-10,F2F,35,8
C000051,R001,H0085,P002,2026-03-31,F2F,20,3
C000052,R001,H0105,P005,2025-05-31,F2F,25,3
C000053,R001,H0412,P001,2025-07-30,F2F,31,6
C000054,R001,H0139,P001,2025-09-26,F2F,5,4
C000055,R001,H0098,P004,2025-10-19,F2F,19,8
C000056,R001,H0356,P005,2026-01-14,F2F,13,3
C000057,R001,H0133,P005,2025-10-20,F2F,23,3
